"","ets_norm","ets_boot","arima_norm","arima_boot","qf","rfinter","pibf"
"Beverage carton",0.970588235294118,0.930147058823529,0.970588235294118,0.933823529411765,0.933823529411765,0.922794117647059,0.915441176470588
"Foil",0.963235294117647,0.955882352941177,0.959558823529412,0.955882352941177,0.970588235294118,0.966911764705882,0.959558823529412
"Hollow bodies",0.977941176470588,0.963235294117647,0.981617647058823,0.955882352941177,0.985294117647059,0.963235294117647,0.955882352941177
"MP hard",0.981617647058823,0.977941176470588,0.977941176470588,0.974264705882353,0.970588235294118,0.981617647058823,0.959558823529412
"MP soft",0.974264705882353,0.974264705882353,0.974264705882353,0.974264705882353,0.977941176470588,0.974264705882353,0.970588235294118
"NF metal",0.963235294117647,0.955882352941177,0.963235294117647,0.955882352941177,0.952205882352941,0.959558823529412,0.955882352941177
"PPC",0.966911764705882,0.966911764705882,0.974264705882353,0.966911764705882,0.966911764705882,0.959558823529412,0.959558823529412
"PE",0.977941176470588,0.981617647058823,0.977941176470588,0.981617647058823,0.966911764705882,0.977941176470588,0.974264705882353
"PET bottles",0.981617647058823,0.974264705882353,0.981617647058823,0.977941176470588,0.966911764705882,0.977941176470588,0.959558823529412
"PET bowls",0.963235294117647,0.944852941176471,0.966911764705882,0.948529411764706,0.963235294117647,0.955882352941177,0.944852941176471
"PP",0.974264705882353,0.977941176470588,0.970588235294118,0.970588235294118,0.963235294117647,0.974264705882353,0.970588235294118
"PS",0.959558823529412,0.963235294117647,0.955882352941177,0.966911764705882,0.955882352941177,0.955882352941177,0.941176470588235
"Sorting residues",0.948529411764706,0.974264705882353,0.948529411764706,0.977941176470588,0.981617647058823,0.963235294117647,0.959558823529412
