"","ets_norm","ets_boot","arima_norm","arima_boot","qf","rfinter","pibf"
"Beverage carton",0.102136440168627,0.0506526363250703,0.102002610905762,0.0513656610784017,0.0495403210834255,0.0510216625083084,0.0494138491290651
"Foil",0.0764445224730032,0.0636005044458256,0.0760115061188802,0.0620620736379567,0.0695981182435614,0.0624337020488992,0.0632236331217681
"Hollow bodies",0.0157056045613018,0.0131991092394631,0.0155261840528942,0.0131638121340301,0.0133914358923868,0.0130318863728564,0.0123131934445151
"MP hard",0.0484970743584402,0.0404866125755397,0.0483660327650331,0.039887831340084,0.044079602886434,0.0416943827324225,0.0386681499950189
"MP soft",0.0869666232578331,0.0794798366776788,0.0865933702938344,0.0786700518990322,0.0785263760739795,0.0772654461689007,0.0740011260102029
"NF metal",0.040611573438499,0.0321844965576845,0.0406316662213669,0.0323310446107769,0.0333328001891386,0.0317597003247353,0.0312342382782292
"PPC",0.0599948586246805,0.0450502734895132,0.0597401165805446,0.044115237592415,0.0510137219813978,0.0455506975547585,0.0480272910413293
"PE",0.0275191231493335,0.0212931372372622,0.0273812200911754,0.0209929273084872,0.0218496462603846,0.0223243543650451,0.0191599981781729
"PET bottles",0.0262484547323054,0.0233636288140744,0.0261903800150228,0.0232443619293494,0.0276453901232749,0.0234140730862157,0.0221292706804227
"PET bowls",0.0293381932343862,0.0230824035930719,0.0292494564684083,0.02264218525643,0.0280859052404264,0.0237627777997747,0.0230930625127067
"PP",0.0522038492007756,0.0439842448746289,0.0520085132395397,0.0436021014847186,0.0476021723740519,0.0437711852052856,0.0424755104259429
"PS",0.01396375016558,0.0114243924068966,0.0139282345864453,0.0114703999600324,0.0115035842433,0.0114246864710918,0.0110483213436205
"Sorting residues",0.192743692927008,0.185069804288516,0.188491659810486,0.175114517921137,0.186631173159535,0.155803461351048,0.13045451714902
